2026-09-11T13:22:29.300Z [env] 6 variaveis carregadas de .env (valores nao exibidos)
2026-09-11T13:22:29.300Z [db] lendo em modo somente-leitura: /opt/erp-wake/data/app.db
2026-09-11T13:22:29.322Z [db] 2318 produtos ativos; CD=25 tabela=74 promocao=10365 CISS empresa=2 local=2
2026-09-11T13:22:29.322Z [db] intervalo produtoVarianteId da whitelist: 278078..283202
2026-09-11T13:22:29.323Z [auth] token Wake: env; token CISS: db (valores nunca exibidos)
2026-09-11T13:22:29.326Z [wake] GET /produtos CD=25 intervalo 278078..283202
2026-09-11T13:24:09.631Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280946 -> 200 (rate-limit restante=100)
2026-09-11T13:24:11.592Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280996 -> 200 (rate-limit restante=99)
2026-09-11T13:24:13.632Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281046 -> 200 (rate-limit restante=98)
2026-09-11T13:24:15.592Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281096 -> 200 (rate-limit restante=97)
2026-09-11T13:24:17.590Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281146 -> 200 (rate-limit restante=96)
2026-09-11T13:24:19.591Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281196 -> 200 (rate-limit restante=95)
2026-09-11T13:24:21.600Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281246 -> 200 (rate-limit restante=94)
2026-09-11T13:24:23.616Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281296 -> 200 (rate-limit restante=93)
2026-09-11T13:24:25.598Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281346 -> 200 (rate-limit restante=92)
2026-09-11T13:24:27.598Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281396 -> 200 (rate-limit restante=91)
2026-09-11T13:24:29.604Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281446 -> 200 (rate-limit restante=90)
2026-09-11T13:24:31.624Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281496 -> 200 (rate-limit restante=119)
